"country","infant_mortality","region"
"BULGARIA",7.5,"Europe"
"NAURU",7.5,"Australia and Oceania"
"CURACAO",7.4,"Central America and the Caribbean"
"ARGENTINA",7.4,"South America"
"LEBANON",7.3,"Middle East"
"VIRGIN ISLANDS",7.2,"Central America and the Caribbean"
"CAYMAN ISLANDS",7.1,"Central America and the Caribbean"
"KUWAIT",7,"Middle East"
"URUGUAY",6.9,"South America"
"NORTH MACEDONIA",6.8,"Europe"
"SRI LANKA",6.8,"South Asia"
"RUSSIA",6.4,"Central Asia"
"COSTA RICA",6.3,"Central America and the Caribbean"
"SAINT MARTIN",6.3,"Central America and the Caribbean"
"MALAYSIA",6.3,"East and Southeast Asia"
"SAINT BARTHELEMY",6.3,"Central America and the Caribbean"
"THAILAND",6.2,"East and Southeast Asia"
"QATAR",6.2,"Middle East"
"SAN MARINO",6.1,"Europe"
"CHINA",6,"East and Southeast Asia"
"GIBRALTAR",5.9,"Europe"
"PUERTO RICO",5.7,"Central America and the Caribbean"
"FAROE ISLANDS",5.6,"Europe"
"ROMANIA",5.3,"Europe"
"CUBA",5.2,"Central America and the Caribbean"
"UNITED STATES",5,"North America"
"SLOVAKIA",5,"Europe"
"UNITED ARAB EMIRATES",4.9,"Middle East"
"NEW CALEDONIA",4.8,"Australia and Oceania"
"POLAND",4.6,"Europe"
"MALTA",4.6,"Europe"
"HUNGARY",4.6,"Europe"
"CHILE",4.5,"South America"
"SERBIA",4.4,"Europe"
"MACAU",4.3,"East and Southeast Asia"
"FRENCH POLYNESIA",4.2,"Australia and Oceania"
"ISLE OF MAN",4,"Europe"
"WALLIS AND FUTUNA",3.8,"Australia and Oceania"
"CANADA",3.8,"North America"
"BOSNIA AND HERZEGOVINA",3.8,"Europe"
"TAIWAN",3.8,"East and Southeast Asia"
"LIECHTENSTEIN",3.8,"Europe"
"JERSEY",3.7,"Europe"
"UNITED KINGDOM",3.7,"Europe"
"NETHERLANDS",3.6,"Europe"
"CROATIA",3.4,"Europe"
"GREECE",3.4,"Europe"
"NEW ZEALAND",3.3,"Australia and Oceania"
"ANDORRA",3.3,"Europe"
"GUERNSEY",3.2,"Europe"
"AUSTRIA",3.2,"Europe"
"IRELAND",3.2,"Europe"
"FRANCE",3.1,"Europe"
"MONTENEGRO",3.1,"Europe"
"LUXEMBOURG",3.1,"Europe"
"DENMARK",3.1,"Europe"
"AUSTRALIA",3,"Australia and Oceania"
"SWITZERLAND",3,"Europe"
"BELGIUM",3,"Europe"
"GERMANY",3,"Europe"
"ITALY",3,"Europe"
"ANGUILLA",2.9,"Central America and the Caribbean"
"ISRAEL",2.6,"Middle East"
"LITHUANIA",2.5,"Europe"
"CZECHIA",2.5,"Europe"
"HONG KONG",2.4,"East and Southeast Asia"
"PORTUGAL",2.4,"Europe"
"SPAIN",2.4,"Europe"
"LATVIA",2.4,"Europe"
"SWEDEN",2.2,"Europe"
"KOREA, SOUTH",2.2,"East and Southeast Asia"
"BELARUS",2.1,"Europe"
"BERMUDA",2.1,"North America"
"ESTONIA",2,"Europe"
"FINLAND",1.9,"Europe"
"NORWAY",1.8,"Europe"
"JAPAN",1.8,"East and Southeast Asia"
"SLOVENIA",1.8,"Europe"
"MONACO",1.7,"Europe"
"ICELAND",1.6,"Europe"
"SINGAPORE",1.5,"East and Southeast Asia"
