"country","life_expectancy","region"
"IRAQ",73.7,"Middle East"
"BHUTAN",73.7,"South Asia"
"INDONESIA",73.6,"East and Southeast Asia"
"GUATEMALA",73.5,"Central America and the Caribbean"
"KOREA, NORTH",73.5,"East and Southeast Asia"
"KAZAKHSTAN",73.3,"Central Asia"
"HONDURAS",73.1,"Central America and the Caribbean"
"KOSOVO",73.1,"Europe"
"NEPAL",73,"South Asia"
"MALAWI",73,"Africa"
"CONGO, REPUBLIC OF THE",72.9,"Africa"
"KYRGYZSTAN",72.9,"Central Asia"
"GEORGIA",72.8,"Central Asia"
"SURINAME",72.7,"South America"
"DOMINICAN REPUBLIC",72.6,"Central America and the Caribbean"
"BOLIVIA",72.5,"South America"
"TURKMENISTAN",72.4,"Central Asia"
"GUYANA",72.4,"South America"
"RUSSIA",72.3,"Central Asia"
"TOGO",72.1,"Africa"
"SOUTH AFRICA",71.9,"Africa"
"TAJIKISTAN",71.9,"Central Asia"
"MONGOLIA",71.9,"East and Southeast Asia"
"CAMBODIA",71.4,"East and Southeast Asia"
"PHILIPPINES",70.8,"East and Southeast Asia"
"TANZANIA",70.8,"Africa"
"SENEGAL",70.6,"Africa"
"UKRAINE",70.5,"Europe"
"TIMOR-LESTE",70.5,"East and Southeast Asia"
"GABON",70.4,"Africa"
"KENYA",70.4,"Africa"
"BURMA",70.3,"East and Southeast Asia"
"PAKISTAN",70.3,"South Asia"
"MOLDOVA",70.1,"Europe"
"GHANA",70.1,"Africa"
"PAPUA NEW GUINEA",70.1,"East and Southeast Asia"
"UGANDA",69.7,"Africa"
"LAOS",69,"East and Southeast Asia"
"TUVALU",69,"Australia and Oceania"
"PERU",68.9,"South America"
"MADAGASCAR",68.8,"Africa"
"NAURU",68.6,"Australia and Oceania"
"KIRIBATI",68.5,"Australia and Oceania"
"GAMBIA, THE",68.4,"Africa"
"INDIA",68.2,"South Asia"
"YEMEN",68.2,"Middle East"
"BURUNDI",68.1,"Africa"
"COMOROS",67.8,"Africa"
"SUDAN",67.8,"Africa"
"SAO TOME AND PRINCIPE",67.7,"Africa"
"ETHIOPIA",67.7,"Africa"
"ERITREA",67.5,"Africa"
"ZIMBABWE",67.2,"Africa"
"ZAMBIA",66.9,"Africa"
